"","FINC.mu","FINC.sd","FISharpe"
"BIV",-5.63655367203918e-06,0.00275753604275017,-0.304246208933916
"BLV",3.52290491490033e-05,0.00596639907733034,-0.133766493632109
"BSV",-1.17116488357026e-05,0.000995927534332931,-0.848500471206517
"SPAB",-1.10143876720679e-05,0.00217371470870431,-0.388435390175325
"SPIB",1.43494057772528e-05,0.00193900238125177,-0.42237386373263
"SPLB",3.54393281643328e-05,0.00587418784016893,-0.135830522768243
"SPSB",-6.21482961443486e-06,0.000813491075012268,-1.03203119092008
