row.names,BAB,BIL,CWB,DEM,DGS,DON,EES,EMB,FLOT,FTSL,FV,GOVT,MTUM,NEAR,PDBC,PXH,QUAL,REET,SJNK,SPAB,SPHB,SPIB,SPLB,SPSM,SRLN,XMLV,XSLV
2015-11-01,0.09,0.105,0,0,0.035,0,0,0,0,0,0,0.105,0,0,0,0,0.245,0.035,0,0,0,0,0,0,0,0.245,0.14
2015-12-01,0.105,0,0,0,0.035,0,0,0.105,0,0,0,0,0,0,0,0,0.14,0.035,0,0,0,0.09,0,0,0,0.245,0.245
2016-01-01,0.09,0.105,0,0,0.035,0,0,0,0,0,0,0.105,0,0,0,0,0.245,0.035,0,0,0,0,0,0,0,0.245,0.14
2016-02-01,0.09,0.105,0,0,0.035,0,0,0,0,0,0,0.105,0.245,0,0,0,0,0.035,0,0,0,0,0,0,0,0.245,0.14
2016-03-01,0.09,0.105,0,0,0.035,0,0,0,0,0,0,0.105,0.245,0,0,0,0,0.035,0,0,0,0,0,0,0,0.245,0.14
2016-04-01,0.09,0.105,0,0,0.035,0,0,0,0,0,0,0.105,0,0,0,0,0.245,0.035,0,0,0,0,0,0,0,0.245,0.14
2016-05-01,0,0.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0.14,0,0,0.035,0.09,0.105,0,0,0.245,0.245
2016-06-01,0,0,0,0,0,0.245,0.245,0,0.105,0.09,0,0,0,0,0.035,0.035,0,0,0,0,0.14,0,0.105,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0.09177,0,0,0,0.14,0,0.035,0.035,0,0,0,0,0,0.10323,0.105,0,0,0.245,0.245
2016-08-01,0,0,0,0,0,0,0,0,0.09,0,0,0,0.14,0,0.035,0.035,0,0,0,0,0,0.105,0.105,0,0,0.245,0.245
2016-09-01,0,0,0.015,0,0,0,0,0,0.105,0,0,0,0.035,0,0,0.035,0,0.14,0,0,0,0.075,0.105,0,0,0.245,0.245
2016-10-01,0,0,0.02028,0,0,0,0,0,0.105,0.06972,0,0,0,0,0,0.17794,0,0.20706,0,0,0.035,0,0.105,0.035,0,0.245,0
2016-11-01,0,0,0,0,0,0,0.245,0,0.105,0,0.035,0,0,0,0.126,0.245,0,0,0.072,0,0.049,0,0.105,0,0.018,0,0
2016-12-01,0,0,0,0,0,0.19516,0.19964,0,0.105,0,0,0,0,0,0.035,0.2352,0,0,0.105,0,0.035,0,0.04599,0,0.04401,0,0
2017-01-01,0.01974,0,0,0,0,0.245,0.245,0,0.105,0,0,0,0,0,0.035,0.14,0,0,0.07026,0,0.035,0,0,0,0.105,0,0
2017-02-01,0,0,0,0,0,0.20356,0.245,0,0.105,0,0,0,0,0,0.035,0.17549,0,0,0.07878,0,0.04095,0,0.01455,0,0.10167,0,0
2017-03-01,0,0,0.0636,0,0.035,0,0.21777,0,0.105,0,0,0,0,0,0,0,0,0.035,0,0,0.16723,0,0.0264,0,0.105,0.245,0
2017-04-01,0,0,0.105,0,0.07707,0,0,0,0.105,0,0,0,0.18508,0,0,0,0,0.035,0,0,0,0.09,0,0.245,0,0.15785,0
2017-05-01,0,0,0.105,0,0.035,0,0,0,0.105,0,0,0,0.245,0,0,0,0,0.035,0,0,0,0.09,0,0.20384,0,0.18116,0
2017-06-01,0,0,0.105,0,0.21231,0,0,0,0.105,0,0,0,0.245,0,0,0,0,0.035,0,0,0,0.09,0,0.07441,0,0.13328,0
2017-07-01,0,0,0.105,0,0.14,0,0,0,0,0,0.035,0,0.245,0.105,0,0,0,0.035,0,0.09,0,0,0,0.245,0,0,0
2017-08-01,0,0,0.105,0,0.1512,0,0,0,0.105,0,0.035,0,0.245,0,0,0,0,0.035,0,0,0,0.09,0,0.2338,0,0,0
2017-09-01,0,0,0.105,0,0,0,0,0,0.105,0,0.035,0,0.245,0,0,0.245,0,0.035,0,0,0,0.09,0,0.14,0,0,0
2017-10-01,0,0.105,0.105,0,0,0,0,0,0,0,0.09625,0,0.245,0,0.035,0.10304,0,0,0,0,0,0.09,0,0.22071,0,0,0
2017-11-01,0,0.105,0.105,0,0,0,0.245,0,0,0,0.14,0,0.245,0,0.035,0.035,0,0,0,0,0,0.09,0,0,0,0,0
