row.names,BAB,BIL,CWB,DEM,DGS,DON,EES,EMB,FLOT,FTSL,FV,GOVT,MTUM,NEAR,PDBC,PXH,QUAL,REET,SJNK,SPAB,SPHB,SPIB,SPLB,SPSM,SRLN,XMLV,XSLV
2015-11-01,0.03,0.035,0,0,0.045,0,0,0,0,0,0,0.035,0,0,0,0,0.315,0.045,0,0,0,0,0,0,0,0.315,0.18
2015-12-01,0.035,0,0,0,0.045,0,0,0.035,0,0,0,0,0,0,0,0,0.18,0.045,0,0,0,0.03,0,0,0,0.315,0.315
2016-01-01,0.03,0.035,0,0,0.045,0,0,0,0,0,0,0.035,0,0,0,0,0.315,0.045,0,0,0,0,0,0,0,0.315,0.18
2016-02-01,0.03,0.035,0,0,0.045,0,0,0,0,0,0,0.035,0.315,0,0,0,0,0.045,0,0,0,0,0,0,0,0.315,0.18
2016-03-01,0.03,0.035,0,0,0.045,0,0,0,0,0,0,0.035,0.315,0,0,0,0,0.045,0,0,0,0,0,0,0,0.315,0.18
2016-04-01,0.03,0.035,0,0,0.045,0,0,0,0,0,0,0.035,0,0,0,0,0.315,0.045,0,0,0,0,0,0,0,0.315,0.18
2016-05-01,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0,0.18,0,0,0.045,0.03,0.035,0,0,0.315,0.315
2016-06-01,0,0,0,0,0,0.315,0.315,0,0.035,0.03,0,0,0,0,0.045,0.045,0,0,0,0,0.18,0,0.035,0,0,0,0
2016-07-01,0,0,0,0,0,0,0,0,0.03059,0,0,0,0.18,0,0.045,0.045,0,0,0,0,0,0.03441,0.035,0,0,0.315,0.315
2016-08-01,0,0,0,0,0,0,0,0,0.03,0,0,0,0.18,0,0.045,0.045,0,0,0,0,0,0.035,0.035,0,0,0.315,0.315
2016-09-01,0,0,0.005,0,0,0,0,0,0.035,0,0,0,0.045,0,0,0.045,0,0.18,0,0,0,0.025,0.035,0,0,0.315,0.315
2016-10-01,0,0,0.00676,0,0,0,0,0,0.035,0.02324,0,0,0,0,0,0.22878,0,0.26622,0,0,0.045,0,0.035,0.045,0,0.315,0
2016-11-01,0,0,0,0,0,0,0.315,0,0.035,0,0.045,0,0,0,0.162,0.315,0,0,0.024,0,0.063,0,0.035,0,0.006,0,0
2016-12-01,0,0,0,0,0,0.25092,0.25668,0,0.035,0,0,0,0,0,0.045,0.3024,0,0,0.035,0,0.045,0,0.01533,0,0.01467,0,0
2017-01-01,0.00658,0,0,0,0,0.315,0.315,0,0.035,0,0,0,0,0,0.045,0.18,0,0,0.02342,0,0.045,0,0,0,0.035,0,0
2017-02-01,0,0,0,0,0,0.26172,0.315,0,0.035,0,0,0,0,0,0.045,0.22563,0,0,0.02626,0,0.05265,0,0.00485,0,0.03389,0,0
2017-03-01,0,0,0.0212,0,0.045,0,0.27999,0,0.035,0,0,0,0,0,0,0,0,0.045,0,0,0.21501,0,0.0088,0,0.035,0.315,0
2017-04-01,0,0,0.035,0,0.09909,0,0,0,0.035,0,0,0,0.23796,0,0,0,0,0.045,0,0,0,0.03,0,0.315,0,0.20295,0
2017-05-01,0,0,0.035,0,0.045,0,0,0,0.035,0,0,0,0.315,0,0,0,0,0.045,0,0,0,0.03,0,0.26208,0,0.23292,0
2017-06-01,0,0,0.035,0,0.27288,0,0,0,0.035,0,0,0,0.315,0,0,0,0,0.045,0,0,0,0.03,0,0.09567,0,0.17145,0
2017-07-01,0,0,0.035,0,0.18,0,0,0,0,0,0.045,0,0.315,0.035,0,0,0,0.045,0,0.03,0,0,0,0.315,0,0,0
2017-08-01,0,0,0.035,0,0.1944,0,0,0,0.035,0,0.045,0,0.315,0,0,0,0,0.045,0,0,0,0.03,0,0.3006,0,0,0
2017-09-01,0,0,0.035,0,0,0,0,0,0.035,0,0.045,0,0.315,0,0,0.315,0,0.045,0,0,0,0.03,0,0.18,0,0,0
2017-10-01,0,0.035,0.035,0,0,0,0,0,0,0,0.12366,0,0.315,0,0.045,0.13248,0,0,0,0,0,0.03,0,0.28386,0,0,0
2017-11-01,0,0.035,0.035,0,0,0,0.315,0,0,0,0.18,0,0.315,0,0.045,0.045,0,0,0,0,0,0.03,0,0,0,0,0
